"If you are willing to buy this book for church, please write your name in Column A and drop it off at Room#215 on Sundays",,,,,,,,,,,
,,,,,,,,,,,
Donated By,#,Book Title,Denomination. ,Category by Age,Publisher,New/Used,Unit Price,Qty,Price,Link to Purchase,
,121,Vision Books: Saint Joan of Arc,Catholic,9-15,Ignatius Press (Catholic),used,11,1,11,https://www.abebooks.com/servlet/BookDetailsPL?bi=32404417670&dest=USA&ref_=ps_ggl_17730880232&cm_mmc=ggl-_-US_Shopp_Trade_10to20-_-product_id=US9780898708226USED-_-keyword=&gad_source=1&gad_campaignid=17190383924&gbraid=0AAAAAD3Y6gs25IbolvsnTtWu-IAAVt9B1&gclid=CjwKCAjwyabTBhBFEiwAM3mNUOxpOVbZgj-byVBjOwoYPo03fjnmQlkq1q7c1oEUaPkye6qD5Y467hoC8kAQAvD_BwE,
,122,Vision Books: Saint Francis of Assisi,Catholic,9-15,Ignatius Press (Catholic),used,3,1,3,https://www.abebooks.com/servlet/BookDetailsPL?bi=32476457850&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9780385029001USED-_-keyword=&gad_source=1&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6gsdD1T-mROHTuNQ26Kpn-6Mp&gclid=CjwKCAjwyabTBhBFEiwAM3mNUNr7BgggrGMVZ1P4QmvR5NChF6EEMIyAl9LowBrdV72n9beOECLBsxoCKgEQAvD_BwE,
,123,Vision Books: Saint Dominic,Catholic,9-15,Ignatius Press (Catholic),used,6,1,6,https://www.abebooks.com/servlet/BookDetailsPL?bi=32478265494&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9780898705188NEW-_-keyword=&gad_source=1&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6gsdD1T-mROHTuNQ26Kpn-6Mp&gclid=CjwKCAjwyabTBhBFEiwAM3mNUK8WHmUVUTZVlbgdPNGipIvJSHcMCFAVUkW_7WEqzx_Jlvgn-Obr5hoCBxcQAvD_BwE,
,124,Vision Books: Saint Thomas Aquinas,Catholic,9-15,Ignatius Press (Catholic),used,6,1,6,https://www.ebay.com/itm/226206128862?chn=ps&norover=1&mkevt=1&mkrid=711-117182-37290-0&mkcid=2&mkscid=101&itemid=226206128862&targetid=2447864482959&device=c&mktype=pla&googleloc=9196138&poi=&campaignid=21203633013&mkgroupid=186346748057&rlsatarget=pla-2447864482959&abcId=9407526&merchantid=764137246&gad_source=4&gad_campaignid=21203633013&gbraid=0AAAAAD_QDh9J5kk19tHP5plteXG4tfPCS&gclid=CjwKCAjwyabTBhBFEiwAM3mNUAwSyV_f6z5e-JK5qh6igE1sbEEYQ9-8a9JIRnyh63cz0nnm3XnuiBoCVyUQAvD_BwE,
,125,Vision Books: Saint Ignatius of Loyola,Catholic,9-15,Ignatius Press (Catholic),used,6,1,6,https://www.betterworldbooks.com/product/detail/saint-ignatius-and-the-company-of-jesus-9780898707229?shipto=US&curcode=USD&utm_source=google&utm_medium=cpc&utm_campaign=pMax-Used-USA&utm_content=&utm_term=&creative=&device=c&placement=&gad_source=1&gad_campaignid=16440140764&gbraid=0AAAAADMQnG-jE2gm0PHHPA16_y0fWiEOl&gclid=CjwKCAjwyabTBhBFEiwAM3mNUO3NfAnuzRv3JzzGCbHdujDBMFqN_zf5dGczoKYrNWu4oEAYFLaAERoC4MsQAvD_BwE,
,126,Vision Books: Saint Maria Goretti,Catholic,9-15,Ignatius Press (Catholic),new,10,1,10,https://ignatius.com/maria-goretti-9b398p/,
,127,Vision Books: Saint Kateri Tekakwitha,Catholic,9-15,Ignatius Press (Catholic),used,4,1,4,https://www.abebooks.com/servlet/BookDetailsPL?bi=32450785786&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9780898703801NEW-_-keyword=&gad_source=1&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6gsdD1T-mROHTuNQ26Kpn-6Mp&gclid=CjwKCAjwyabTBhBFEiwAM3mNUNKfCejXpkpBIdR1-Whs1fooVSHAFgFHHqhAiH96Pl1bo_AzNDA1MBoCEZgQAvD_BwE,
,128,Vision Books: Saint John Bosco,Catholic,9-15,Ignatius Press (Catholic),used,9,1,9,https://www.abebooks.com/servlet/BookDetailsPL?bi=32488194028&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9780898704167NEW-_-keyword=&gad_source=1&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6gsdD1T-mROHTuNQ26Kpn-6Mp&gclid=CjwKCAjwyabTBhBFEiwAM3mNUF35av0FCGTS1E5SjUF9IkoPzXVmVKMI7O6DKI4HGDUhdAhnvbGO6BoCvxYQAvD_BwE,
,129,Mary Fabyan Windeatt: Saint Thomas Aquinas,Catholic,10-14,TAN Books (Catholic),used,3,1,3,https://www.abebooks.com/servlet/BookDetailsPL?bi=32452969092&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9780895554208USED-_-keyword=&gad_source=1&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6gsdD1T-mROHTuNQ26Kpn-6Mp&gclid=CjwKCAjwyabTBhBFEiwAM3mNUIjYMCZ8LEtptgF7YbfGO0CKV5U7NSPEgVq4FiYOgAWLgDLCrAdZkRoCHmIQAvD_BwE,
,130,Mary Fabyan Windeatt: Saint Bernadette,Catholic,10-14,TAN Books (Catholic),new,8,1,8,https://setonbooks.com/reading/1013-a-story-of-st-bernadette.html?srsltid=AfmBOooJNbH13avrMF90x-KXwqstQDHY3xRvD2qsLfCPNfadq1aogQYi,
,131,Mary Fabyan Windeatt: Saint Margaret Mary,Catholic,10-14,TAN Books (Catholic),used,4,1,4,https://www.worldofbooks.com/products/st-margaret-mary-book-windeatt-9780895554154?sku=CIN0895554151A&gad_source=1&gad_campaignid=21957266543&gbraid=0AAAAAC04ib0GH9f8Wev1CU2EMcFi8-UJT&gclid=CjwKCAjwyabTBhBFEiwAM3mNUC4pooGTZBLWIIXGQqhQ7op03v8t81_xCZ6_bimlaGVEIO0gSVdVIhoCBOgQAvD_BwE,
,132,Mary Fabyan Windeatt: King David and His Songs,Catholic,10-14,TAN Books (Catholic),used,3,1,3,https://www.abebooks.com/servlet/BookDetailsPL?bi=32186509885&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9780895554291USED-_-keyword=&gad_source=1&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6gsdD1T-mROHTuNQ26Kpn-6Mp&gclid=CjwKCAjwyabTBhBFEiwAM3mNUJShUhH8nPAHTPg4qAJe2KVrnALa5CZS2dBVkrj0biQcuVcnW0Ip7xoC3zIQAvD_BwE,
,133,Mary Fabyan Windeatt: Saint Paul,Catholic,10-14,TAN Books (Catholic),used,5,1,5,https://www.worldofbooks.com/products/patron-saint-of-first-communicants-book-windeatt-9780895554161?sku=CIN089555416XA&gad_source=1&gad_campaignid=21956371336&gbraid=0AAAAAC04ib3Rf-EjBpZUiG_O4Bt_NDg9V&gclid=CjwKCAjwyabTBhBFEiwAM3mNUH3c8PfTer_Ug4SU3K5r_d4Sl45AU4qElmYmb6rdb8nq2VYkt_c9_hoCq5IQAvD_BwE,
,134,Saint John Bosco and His Big Gray Dog,Catholic,4-9,Caritas Press (Catholic),used,8,1,8,https://www.abebooks.com/servlet/BookDetailsPL?bi=32227630826&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9781940209166USED-_-keyword=&gad_source=4&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6gtHYi3w_uaUUC6ISiwrsGdg9&gclid=CjwKCAjwyabTBhBFEiwAM3mNULuCP5wsV_r3rgiWiwMn9hAm_5u3T528c36UfDdSFgvJue_tGWyc1RoCEV0QAvD_BwE,
,135,Saints Around the World (Meg Hunter-Kilmer),Catholic,5-14,Emmaus Road Publishing (Catholic),used,7,1,7,https://www.thriftbooks.com/w/adventurous-saints-around-the-world_meg-hunter-kilmer/54446709/item/85598819/?utm_source=google&utm_medium=cpc&utm_campaign=LCE_low_vol_f%2fm%2fs_standard_shopping_customer_aquisition_22591097975&utm_adgroup=&utm_term=&utm_content=754049995136&gad_source=1&gad_campaignid=22591097975&gbraid=0AAAAADwY45gQtpI6KveFu_Q_XdCXMCQpn&gclid=CjwKCAjwyabTBhBFEiwAM3mNUIlwvfuyPaxssDGghaZ-tAffBqM8bh-qXPllPf1Rf2QC-uOpQOsatBoCuKQQAvD_BwE#idiq=85598819&edition=72363240,
,136,Adventurous Saints Around the World,Catholic,4-8,Emmaus Road Publishing (Catholic),used,7,1,7,https://www.abebooks.com/Adventurous-Saints-Around-World-Meg-Hunter-Kilmer/32282306946/bd,
,137,Royal and Warrior Saints Around the World,Catholic,4-8,Emmaus Road Publishing (Catholic),used,7,1,7,https://www.abebooks.com/Royal-Warrior-Saints-Around-World-Meg/32488064267/bd,
,138,Ordinary Saints Around the World,Catholic,4-8,Emmaus Road Publishing (Catholic),used,8,1,8,https://www.abebooks.com/Ordinary-Saints-Around-World-Meg-Hunter-Kilmer/32482372510/bd,
,139,Talented Saints Around the World,Catholic,4-8,Emmaus Road Publishing (Catholic),new,11,1,11,https://www.abebooks.com/Talented-Saints-Around-World-Meg-Hunter-Kilmer/32459975111/bd,
,140,Unshakable Saints Around the World,Catholic,4-8,Emmaus Road Publishing (Catholic),used,11,1,11,https://www.abebooks.com/servlet/BookDetailsPL?bi=32488720000,
,141,Young Saints Around the World,Catholic,4-8,Emmaus Road Publishing (Catholic),used,9,1,9,https://shop.catholicsupply.com/young-saints-around-the-world-hc.aspx?gad_source=1&gad_campaignid=17347185776&gbraid=0AAAAADFzrAyEmDJNSw8uVQB-6qX7DgBaR&gclid=CjwKCAjwyabTBhBFEiwAM3mNUNRn-VAANJKVsIt0qUvb-bYglfo9rXWInC6sM1-3OHFkD64dhcQr9hoCzeQQAvD_BwE,
,142,Young Saints: Fifteen Extraordinary Lives,Catholic,7-14,Magnificat & Ignatius Press (Catholic),used,16,1,16,https://www.thriftbooks.com/w/young-saints-fifteen-extraordinary-lives-from-blandina-to-carlo-acutis_charlotte-grossette_tristan-garnier---illustrator/56617320/item/89239204/?utm_source=google&utm_medium=cpc&utm_campaign=LCE_low_vol_f%2fm%2fs_standard_shopping_customer_aquisition_22591097975&utm_adgroup=&utm_term=&utm_content=754049995133&gad_source=1&gad_campaignid=22591097975&gbraid=0AAAAADwY45gQtpI6KveFu_Q_XdCXMCQpn&gclid=CjwKCAjwyabTBhBFEiwAM3mNUIhUm_3wCh6Knz703JRcjA7ZvDEdVM_Cl8LVX9n_6lGXye04eXgQWhoC5L8QAvD_BwE#idiq=89239204&edition=74118566,
,143,Son of Charlemagne,Catholic Compatible,10-13,Bethlehem Books,new,14,1,14,https://www.amazon.com/Son-Charlemagne-Living-History-Library/dp/1883937302,
,144,In the Shadows of Rome Book Series(6books),Catholic,9 & up,Magnificat & Ignatius Press (Catholic),new,60,1,60,https://ignatius.com/the-shadows-of-rome-series-set-shrx/,
,145,Saints Chronicles Vol. 1,Catholic,8-14,Sophia Institute Press (Catholic),used,8,1,8,https://www.thriftbooks.com/w/saints-chronicles-collection-1_al-milgrom_dan-davis/19690555/item/35799950/?utm_source=google&utm_medium=cpc&utm_campaign=pmax_high_vol_scarce_under_%2410_17389091670&utm_adgroup=&utm_term=&utm_content=&gad_source=1&gad_campaignid=17400878150&gbraid=0AAAAADwY45gdF-duNX6-12HR4lI8up9qt&gclid=CjwKCAjwyabTBhBFEiwAM3mNUKFiITbbcmIJSlQu51RlFmaxTFZeUlfr8QEIJVWBdvYhh5wtQZnInxoCo4cQAvD_BwE#idiq=35799950&edition=20910090,
,146,Saints Chronicles Vol. 2,Catholic,8-14,Sophia Institute Press (Catholic),used,10,1,10,https://www.thriftbooks.com/w/saints-chronicles-collection-2_sophia-institute-press/19916172/item/37284042/?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_zombies_hvs_21811042479&utm_adgroup=&utm_term=&utm_content=717415192734&gad_source=1&gad_campaignid=21811042479&gbraid=0AAAAADwY45iFUdwaJp2nqmrSnAKwoeReR&gclid=CjwKCAjwyabTBhBFEiwAM3mNUNyZsRpsD4s3rjwrM8qb4lDtzjOVfG72VJfFas-Ej678fw-bo4V44xoCWCQQAvD_BwE#idiq=37284042&edition=21176286,
,147,Saints Chronicles Vol. 3,Catholic,8-14,Sophia Institute Press (Catholic),used,8,1,8,https://www.worldofbooks.com/products/saints-chronicles-collection-3-book-sophia-institute-press-9781622826780?sku=CIN1622826787G&gad_source=4&gad_campaignid=21957266543&gbraid=0AAAAAC04ib2Hc0nyFDtM7GG8ylcSHW5oP&gclid=CjwKCAjwyabTBhBFEiwAM3mNUGBzVO4EnbyZA6pE-TZnt03Lv6XMkMqxtqQoRftj7UAgrJ1Sg3FuQRoCJQQQAvD_BwE,
,148,The Father Brown Reader (Adapted for Youth),Catholic,8-12,The Society of Gilbert Keith Chesterton,used,7,1,7,https://www.abebooks.com/servlet/BookDetailsPL?bi=32488325755&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9780976638674USED-_-keyword=&gad_source=4&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6gtHYi3w_uaUUC6ISiwrsGdg9&gclid=CjwKCAjwyabTBhBFEiwAM3mNUOykDAM5m-D45lJjGOkmFciuXY7SxDf2vHpjvDzEzmLDi1CEPi-I7xoCxhoQAvD_BwE,
,149,Illustrated Catechism Stories Vol 1: Faith and the Creed,Catholic,6-11,TAN Books (Catholic),new,25,1,25,https://tanbooks.com/products/books/illustrated-catechism-stories-vol-1-faith-and-the-creed/?gc_id=17487855346&gad_source=1&gad_campaignid=17487873334&gbraid=0AAAAADyykAzHpKsiJhhBpcMipCpkMS4AB&gclid=CjwKCAjwyabTBhBFEiwAM3mNUHxFKD4I3k3roZNF1NW6fzcmujR0GiLYdQknG1ybmR5i4eXq_T7mlRoCubYQAvD_BwE,
,150,The Boy Who Knew (Carlo Acutis)by Corinna Turner,Catholic,13-18,Magnificat & Ignatius Press (Catholic),used,6,1,6,https://www.worldofbooks.com/products/boy-who-knew-carlo-acutis-book-corinna-turner-9781910806463?sku=CIN1910806463G&gad_source=1&gad_campaignid=21957241094&gbraid=0AAAAAC04ib0CsLld-Z9Us_aUaB17TgP_W&gclid=CjwKCAjwyabTBhBFEiwAM3mNUC0wKqRx5RqOZlJtQTG7VEMJQZLjFR6CK_kzoEVCR_1ahRX-6U13vhoCF3cQAvD_BwE,
,151,Francis and Clare: Saints of Assisi (Vision Books) (Vision Book Series),Catholic,9-15,Ignatius Press (Catholic),used,4,1,4,https://www.abebooks.com/servlet/BookDetailsPL?bi=32488441373&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9780898705171USED-_-keyword=&gad_source=1&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6gsdD1T-mROHTuNQ26Kpn-6Mp&gclid=CjwKCAjwyabTBhBFEiwAM3mNUHy1z0inoODqLQT41UiH37ci-LTCoV1J-_-E8LA1Q2YZKB65Hg7oqBoC3jkQAvD_BwE,
,152,Our Lady of Fatima (children's biography),Catholic,7-13,TAN Books (Catholic),used,6,1,6,https://www.christianbook.com/our-lady-of-fatima/9781941243794/pd/243794?en=google&event=SHOP&kw=ingram-0-20%7C243794&p=1179710&utm_source=google&p=1237749&dv=c&cb_src=google&cb_typ=shopping&cb_cmp=21328467087&cb_adg=162622086363&cb_kyw=&utm_medium=shopping&gad_source=4&gad_campaignid=21328467087&gbraid=0AAAAAD_dTHZ-bQchK39w_qnjZajAVf70a&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nhw-CLYWiHA5noXzzG41J1cj_ob-hIpBx3kTu3gDkG7PmC0dPowhChoCEjQQAvD_BwE,
,153,The Children of Fatima,Catholic,7-13,TAN Books (Catholic),used,8,1,8,https://www.thriftbooks.com/w/the-children-of-fatima-and-our-ladys-message-to-the-world-stories-of-the-saints-for-young-people-ages-10-to-100_mary-fabyan-windeatt/330132/item/1172956/?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_zombies_hvfl_2155271854&utm_adgroup=&utm_term=&utm_content=719329521330&gad_source=4&gad_campaignid=21855271854&gbraid=0AAAAADwY45j25CFV6FHsOTEysMRZycpy5&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nk7iy-YO9fl7-7eUkD2_l-YgmK7VZxJhhCCSslg54puvGAIWYRj8FBoCz5AQAvD_BwE#idiq=1172956&edition=3359654,
,154,Juan Diego and Our Lady of Guadalupe,Catholic,5-10,Pauline Books & Media (Catholic),used,7,1,7,https://www.christianbook.com/juan-diego-marys-humble-messenger/barbara-yoffie/9780764822384/pd/822384?en=google&event=SHOP&kw=ingram-0-20%7C822384&p=1179710&utm_source=google&p=1234083&dv=c&cb_src=google&cb_typ=shopping&cb_cmp=20379181146&cb_adg=157175267691&cb_kyw=&utm_medium=shopping&gad_source=4&gad_campaignid=20379181146&gbraid=0AAAAAD_dTHaj4yH5A6cHOsx7MLfjZ-_2H&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nrxtuW7z8A7vK8cP5xRAKDPuCUYb2TPZgi8gRe5g-UZdTYw0s5tFqxoC4jUQAvD_BwE,
,155,Saint Maria Goretti: The girl who chose heaven over fear,Catholic,7-11,Independently Published,used,14,1,14,https://www.thriftbooks.com/w/saint-maria-goretti-the-girl-who-chose-heaven-over-fear_rev--simon-westbrook/59383361/item/89565985/?utm_source=google&utm_medium=cpc&utm_campaign=shopping_new_condition_books_high_14637440387&utm_adgroup=&utm_term=&utm_content=545821544816&gad_source=4&gad_campaignid=14637440387&gbraid=0AAAAADwY45hPcldfFiWad3q3qXTh51qCg&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nlL5keOdYCTnVZSWmGvVwE5oHGxZuHUTOaSwI5H5PPyNby099CeEGBoCA84QAvD_BwE#idiq=89565985&edition=75951101,
,156,The Life and Witness of Saint Maria Goretti: Our Little Saint of the Beatitudes,Catholic,12 & up,TAN Books (Catholic),used,7,1,7,https://www.christianbook.com/witness-saint-maria-goretti-little-beatitudes/jeffrey-kirby/9781618907547/pd/907547?en=google&event=SHOP&kw=ingram-0-20%7C907547&p=1179710&utm_source=google&p=1229912&dv=c&cb_src=google&cb_typ=shopping&cb_cmp=1082047678&cb_adg=51241112365&cb_kyw=&utm_medium=shopping&gad_source=4&gad_campaignid=1082047678&gbraid=0AAAAAD_dTHb7gj1Da2s05DqA0slwHVdDu&gclid=CjwKCAjwvsvTBhBaEiwAmf-3npJ1pV2cv6mtOAqC15l0lKTdJ5hFKdxUdzx-juQPSmsoGbqQf3T5wxoCiAEQAvD_BwE#CBD-PD-Publisher-Description,
,157,"Maria Goretti
Teenage Martyr",Catholic,13-18,Catholic truth Society,new,10,1,10,https://ignatius.com/maria-goretti-9b398p/,
,158,Blessed Margaret of Castello,Catholic,9-14,TAN Books (Catholic),used,7,1,7,https://www.walmart.com/ip/The-Life-of-Saint-Margaret-of-Castello-1287-1320-Paperback-9780895552136/27427027?wmlspartner=wlpa&selectedSellerId=101094067&wmlspartner=wlpa&cn=FY25-ENTP-PMAX_cnv_dps_dsn_dis_ad_entp_e_n&gclsrc=aw.ds&adid=2222222229727427027_101094067_0000000000_21407473164&wl0=&wl1=g&wl2=c&wl3=&wl4=&wl5=9032151&wl6=&wl7=&wl8=&wl9=pla&wl10=521532765&wl11=online&wl12=27427027_101094067&veh=sem&gad_source=4&gad_campaignid=21690411341&gbraid=0AAAAADmfBIp2-5NBhcIYYxPVAG5ysG6r-&gclid=CjwKCAjwvsvTBhBaEiwAmf-3no6Bph4FMZ4gbwYWZU5-yEBSHr5TsSf7NvpSoaT1iCA-ztMDNi-w3xoCmc8QAvD_BwE,
,159,Martin de Porres: The Rose in the Desert,Catholic compatible,6-9,Clarion Books/Harper Collins,used,7,1,7,https://www.abebooks.com/servlet/BookDetailsPL?bi=32154543494&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9780547612188USED-_-keyword=&gad_source=1&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6guFbvVKUQ-oGJfmsOVZgND8L&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nsx43pwl2r4G6D9xAIvrcVqCJJ1hm028Ii5YqGiKJkspk1YNi-eJYhoC4IgQAvD_BwE,
,160,Saint Anthony of Padua for Children,Catholic,5-9,Catholic Book Publishing Corp. ,used,10,1,10,https://www.worldofbooks.com/products/st-anthony-of-padua-book-silvia-vecchini-9781860825613?sku=GOR005319654&gad_source=1&gad_campaignid=22580716019&gbraid=0AAAAAC04ib0seV6mGRSWS2mOY5iaYOF4w&gclid=CjwKCAjwvsvTBhBaEiwAmf-3ngy-oiRjX2GBkkDAnOKhaf38V_ajac-jdG9y91GmnlbkKng8bkZPxRoCfsUQAvD_BwE,
,161,St. Francis Xavier: Missionary to Asia,Catholic,8-12,Ignatius Press (Catholic),used,7,1,7,https://www.worldofbooks.com/products/saint-francis-of-the-seven-seas-book-albert-nevins-9780898705195?sku=CIN0898705193G,
,163,Paul: Apostle to All Nations (youth edition),Catholic,10-14,TAN Books (Catholic),used,5,1,5,https://www.google.com/search?client=safari&rls=en&q=Paul%3A+Apostle+to+All+Nations+(youth+edition)&ie=UTF-8&oe=UTF-8,
,164,Moses: The Servant of God,Protestant but its Catholic Compatible. No protestant teachings,15 & up,CLC Publications,used,7,1,7,https://www.thriftbooks.com/w/the-life-of-moses-the-servant-of-god-christian-living-classics_fb-meyer/438825/item/46965787/?utm_source=google&utm_medium=cpc&utm_campaign=high_vol_midlist_standard_shopping_customer_acquisition_20381777654&utm_adgroup=&utm_term=&utm_content=666157863328&gad_source=4&gad_campaignid=20381777654&gbraid=0AAAAADwY45iBNBK7HA3Jo4ws01dPEWYAB&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nmzwKDflC6X5yV581e0poBFS5pLjkLypcGnSP64G7guyKveuWJdKrhoCvx4QAvD_BwE#idiq=46965787&edition=57482332,
,165,The Story of Ruth for Children,Protestant but its Catholic Compatible. No protestant teachings,4-10,Whitaker House,used,4,1,4,https://www.christianbook.com/story-ruth-rhyming-bible-for-kids/phil-smouse/9781641236102/pd/236103?en=google&event=SHOP&kw=childrens-books-0-20%7C236103&p=1179710&utm_source=google&p=1244755&dv=c&cb_src=google&cb_typ=shopping&cb_cmp=23835087334&cb_adg=195026004863&cb_kyw=&utm_medium=shopping&gad_source=1&gad_campaignid=23835087334&gbraid=0AAAAAD_dTHbf-zgFmjAxheA-7jQOQ9H4a&gclid=CjwKCAjwvsvTBhBaEiwAmf-3ntKrYko92z2U35gFpyw23gd63oCLPtJGNN5e6FJ97Y1rqSEhbWWcyRoCEBUQAvD_BwE,
,166,Joseph and His Brothers (illustrated),General Christian,5-8,Zonderkidz,used,4,1,4,https://www.christianbook.com/joseph-and-his-brothers/9780310717317/pd/717317?en=google&event=SHOP&kw=childrens-books-0-20%7C717317&p=1179710&utm_source=google&p=1244755&dv=c&cb_src=google&cb_typ=shopping&cb_cmp=23835087334&cb_adg=195026004863&cb_kyw=&utm_medium=shopping&gad_source=1&gad_campaignid=23835087334&gbraid=0AAAAAD_dTHbf-zgFmjAxheA-7jQOQ9H4a&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nqCJ2OPatTy3rJ3GoWZkcP7l0IZEHxDS1EK3RAPdwEiKoTmECHyRGhoC7zAQAvD_BwE,
,168,The Bronze Bow (Elizabeth George Speare),Catholic compatible,10-14,Houghton Mifflin Harcourt,used,7,1,7,https://www.thriftbooks.com/w/the-bronze-bow-by-elizabeth-george-speare/248864/item/18809829/?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_zombies_hvml_22797775610&utm_adgroup=&utm_term=&utm_content=764091475358&gad_source=4&gad_campaignid=22797775610&gbraid=0AAAAADwY45iJ8TIT6OA1FOigKloWfnihz&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nmRhrvkbC7_lAAXsrgT3CG1n5d1Ju-vYzsMaz1PPmFNlK74yX0Y3HBoCuuwQAvD_BwE#idiq=18809829&edition=2385102,
,169,The Door in the Wall (Marguerite de Angeli),Catholic compatible,8-12,Laurel Leaf Library,used,6,1,6,https://www.thriftbooks.com/w/the-door-in-the-wall_marguerite-de-angeli/248474/item/7077959/?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_zombies_hvfl_2155271854&utm_adgroup=&utm_term=&utm_content=719329521330&gad_source=1&gad_campaignid=21855271854&gbraid=0AAAAADwY45hSlMnoDjH72iojgTLMDxoU1&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nl36c4qNCFTGVswyM3mgI7b8eEIqInVCmeF053VspMaQjLqEM0NlyBoCT6UQAvD_BwE#idiq=7077959&edition=2390885,
,170,Saint George and the Dragon,Catholic compatible,6-9,"Little, Brown Books for Young Readers",used,6.31,1,6.31,https://www.target.com/p/saint-george-and-the-dragon-caldecott-medal-winner-by-margaret-hodges-trina-schart-hyman-paperback/-/A-88890439?sid=&TCID=PDS-22806998620&gclsrc=aw.ds&gad_source=1&gad_campaignid=22803281030&gbraid=0AAAAAD-5dfafG-wHEoUd5iKsyvD0T3t6l&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nnzFjRpefIqLP8wTzCoEdBlyf0QMC3cp1LwaCxZ1S3EL92MdadAf2xoCSQoQAvD_BwE,
,171,The Golden Children's Bible,General Christian,6-12,Golden Books/Penguin Random House,used,3,1,3,https://pangobooks.com/titles/the-golden-childrens-bible/82106a2e-6177-4fa1-9400-5df651599dab-UVVhqGpPNlN5KTZptm6FopZUQfs1?campaignId=21316156799&gad_source=1&gad_campaignid=21316158698&gbraid=0AAAAABmGH5dfCDF8pM1ao8yuBbMg1VAxV&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nvyI_LPIYA60W7tz53oWU5kq7O7U3YnakFs_Y5UGS4zfYLbcPm69NxoC1eIQAvD_BwE,
,172,Holy Mysteries\! Faith Facts for Kids,Catholic,7-10,Ignatius Press (Catholic),new,19,1,19,https://www.catholiccompany.com/products/holy-mysteries-12-investigations-into-extraordinary-cases?variant=50914212512053&utm_term=&utm_campaign=&utm_source=adwords&utm_medium=ppc&hsa_acc=1453680900&hsa_cam=22798195594&hsa_grp=&hsa_ad=&hsa_src=x&hsa_tgt=&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gad_source=4&gad_campaignid=22788669336&gbraid=0AAAAAD_gYDEu304hhtt8Xr8c5dCv6YGk0&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nlq0knfaPETrefgo-BMH6NqzxbzDDR2xOM0Rc-1uJsShHAc_NHkYkxoCCBUQAvD_BwE,
,173,"The Illustrated Rosary For Children
By: Karen Cavanaugh",Catholic,4-8,Regina Press (Catholic),used,5,1,5,https://www.thriftbooks.com/w/the-illustrated-rosary-for-children_victor-hoagland/797044/item/46235044/?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_zombies_hvml_22797775610&utm_adgroup=&utm_term=&utm_content=764091475358&gad_source=1&gad_campaignid=22797775610&gbraid=0AAAAADwY45jVzZKvY2t8sUpeT9A9lQY9u&gclid=CjwKCAjwvsvTBhBaEiwAmf-3noWYkrP3m4fm5NN3KUOkKql8Ngm3DgekPUB3OafLyaerNJPthY6qJRoCze8QAvD_BwE#idiq=46235044&edition=5170609,
