"If you are willing to buy this book for church, please write your name in Column A and drop it off at Room#215 on Sundays",,,,,,,,,,,
,,,,,,,,,,,
Donated By,#,Book Title,Denomination. ,Category by Age,Publisher,New/Used,Unit Price,Qty,Price,Link to Purchase,
,44,The Gospel for Little Ones,Catholic,2-6,Magnificat & Ignatius Press (Catholic),Used,4,1,4,https://www.worldofbooks.com/products/gospel-for-little-ones-book-mate-roche-9781586175078#9999786049809,
,45,Tell Me About The Catholic Faith for Small Children,Catholic,3-6,Ignatius Press (Catholic),Used,6,1,6,https://www.worldofbooks.com/products/tell-me-about-the-catholic-faith-for-small-children-book-christine-pedotti-9781586179403#9943962976529,
,46,Picture Book of Saints (Fr. Lovasik),Catholic,4-11,Catholic Book Publishing Corp.,Used,4,1,4,https://www.worldofbooks.com/products/picture-book-of-saints-book-lawrence-g-lovasik-9780899422350#CIN0899422357A,
,47,Tomie dePaola's Book of Bible Stories,Protestant but its Catholic Compatible. No protestant teachings,4-8,G.P. Putnam's Son's Books for Young Readers,Used,6,1,6,https://www.worldofbooks.com/products/books-book-of-bible-stories-by-tomie-de-paola#9796731994385,
,48,The Spider Who Saved Christmas (Raymond Arroyo),Catholic,3-8,Sophia Institute Press(Catholic),Used,4,1,4,https://www.worldofbooks.com/products/spider-who-saved-christmas-book-raymond-arroyo-9781644132111#9816156111121,
,49,Our Lady's Wardrobe (Anthony DeStefano),Catholic,4-8,Sophia Institute Press(Catholic),Used,6,1,6,https://www.worldofbooks.com/products/our-lady-s-wardrobe-book-anthony-destefano-9781622826261#9831702331665,
,50,The Little Flower: A Parable of St. Therese of Lisieux ,Catholic,3-7,Our Sunday Visitor (Catholic),Used,10,1,10,https://www.thriftbooks.com/w/the-little-flower-a-parable-of-st-therese-of-liseux/21636169/item/45020864/?mkwid=%7cdc&pcrid=76897273066017&pkw=&pmt=be&slid=&product=45020864&plc=&pgrid=1230353808544789&ptaid=pla-4580496747882805&utm_source=bing&utm_medium=cpc&utm_campaign=Shopping+-+High+Vol+Scarce+-+%2410+-+%2450&utm_term=&utm_content=%7cdc%7cpcrid%7c76897273066017%7cpkw%7c%7cpmt%7cbe%7cproduct%7c45020864%7cslid%7c%7cpgrid%7c1230353808544789%7cptaid%7cpla-4580496747882805%7c&msclkid=42641d3677721991e4c6775c1b285329#idiq=45020864&edition=23058681,
,51,Christopher the Holy Giant,Catholic,4-8,"Holiday House (Also available from Ignatius Press, Magnificat, The Catholic company)",Used,8,1,8,https://www.worldofbooks.com/products/books-christopher-by-tomie-de-paola#9969945346321,
,52,The Lady of Guadalupe (picture book),Catholic,4-8,Magnificat & Ignatius Press (Catholic),New,17,1,17,https://www.worldofbooks.com/products/lady-of-guadalupe-book-tomie-depaola-9781621647508#10239836782865,
,53,Max and Benedict: A Bird's Eye View of The Pope's Daily Life,Catholic,4-8,Ignatius Press (Catholic),used,7,1,7,https://www.thriftbooks.com/w/max-and-benedict-a-birds-eye-view-of-the-popes-daily-life_jeanne-perego/1656864/item/7260606/?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_zombies_hvml_22797775610&utm_adgroup=&utm_term=&utm_content=764091475358&gad_source=4&gad_campaignid=22797775610&gbraid=0AAAAADwY45jtmdERzZfVzPOLMj3d4JHwz&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBtjZYMIHUay4CrA9GjwSDTF4WXcAomwVHCBoLlveXSrYKyCqYzDVJsaAp2REALw_wcB#idiq=7260606&edition=6554550,
,54,Our Lady of Guadalupe (picture book) by Fr. Lawrence Lovasik,Catholic,4-8,Catholic Book Publishing Corp.,used,3,1,3,https://www.stjudeshop.com/shop-religious-articles/our-lady-of-guadalupe-picture-book/?sku=390PB&gad_source=1&gad_campaignid=21341955976&gbraid=0AAAAA9gxNOG8kwY7FHRmd7WtrNf0k6S-0&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBs4MX59wwRBICI_7ijxXKHDcgJfF-qcju_JdfPzKEXp99PhZCy1FHoaAgwsEALw_wcB,
,55,David and Goliath (A Big golden book),General Christian,3-7,Golden Press (Western Publishing),used,7,1,7,https://www.thriftbooks.com/w/david-and-goliath-a-little-golden-book_barbara-shook-hazen/2451474/item/54064380/?utm_source=google&utm_medium=cpc&utm_campaign=shopping_everything_else_customer_acquisition_16970393167&utm_adgroup=&utm_term=&utm_content=593719077582&gad_source=1&gad_campaignid=16970393167&gbraid=0AAAAADwY45gIY65ZzNZ3HdqBw4vud6l88&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBt3_60ksyN0nplqdG4WH2cFmGOSLZIEcKI6TUWYkJlfol11uDZYIEAaAhu6EALw_wcB#idiq=54064380&edition=60248690,
,56,"Saint Bernadette: The Miracle of Lourdes
By Brunor and Dominique Bar",Catholic,8-12,Pauline Books & Media (Catholic),used,30,1,30,https://www.alibris.com/search/books/isbn/9780819871312?invid=19000072313&utm_source=Google&utm_medium=cpc&utm_campaign=NMPi&gclsrc=aw.ds&gad_source=1&gad_campaignid=23766719020&gbraid=0AAAAAC92pG4TBR261tKT4g5rEP1BmS3-F&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBt6QSr_YYjZ335HkcAQjTfoGUV6FNWF-KRTcuuR0qoByhKUf7OGVkgaAg6JEALw_wcB,
,57,The Life of Jesus (picture book),Catholic,4-8,Catholic Book Publishing Corp.,used,7,1,7,https://shop.catholicsupply.com/store/p/16135-Life-Of-Jesus-For-Children.aspx?gad_source=1&gad_campaignid=15729367351&gbraid=0AAAAADFzrAwx-pGnBJFGHTufVRXBpNFU3&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvqwfOCH8KyceOvr6myLOx4S7xgPoTh-H9w5LL_1XaF112gq8e2vhQaAqgFEALw_wcB,
,58,I Went to Mass (Katie Warner),Catholic,3-6,TAN Books (Catholic),used,9,1,9,https://www.abebooks.com/servlet/BookDetailsPL?bi=32485304217&dest=USA,
,59,The Mass for Little Ones by Mate Roche,Catholic,3-6,Magnificat & Ignatius Press (Catholic),used,6,1,6,https://www.worldofbooks.com/products/mass-for-little-ones-book-mate-roche-9781621645221?sku=CIN1621645223G&gad_source=1&gad_campaignid=21957266543&gbraid=0AAAAAC04ib0iUJRl9g6kQPlj2oPObdcDp&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBv-GCITLYAbIdFgBtsnZqWYlwUzGnXu-O2Ut4aE-mRGX5vl-I7KWF4aAlEZEALw_wcB,
,60,The Weight of a Mass:A Tale of Faith (Josephine Nobisso),Catholic,5-10,Gingerbread House (Catholic),used,3,1,3,https://www.abebooks.com/servlet/BookDetailsPL?bi=32346292752&dest=USA,
,61,"Jesus, I Adore You: Children Praying Before the Blessed Sacrament",Catholic,5-11,Ignatius Press (Catholic),used,10,1,10,https://www.thriftbooks.com/w/jesus-i-adore-you-children-praying-before-the-blessed-sacrament_sabine-du-mesnil/27414080/item/44378983/?utm_source=google&utm_medium=cpc&utm_campaign=shopping_new_condition_books_high_14637440387&utm_adgroup=&utm_term=&utm_content=545752455739&gad_source=1&gad_campaignid=14637440387&gbraid=0AAAAADwY45izAQArRwHssto2wQ_paxwdA&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBu603m5MZFAga9peubm3_nB-86XlueSzDMGWCalCI2XwZRXP1FKRjEaAghbEALw_wcB#idiq=44378983&edition=58954614,
,62,"Bambinelli Sunday: A Christmas Blessing
By Amy Welborn",Catholic,7-10,Franciscan Media (Catholic),used,7,1,7,https://www.thriftbooks.com/w/bambinelli-sunday-a-christmas-blessing_amy-welborn/3181664/item/17434908/?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_zombies_hvs_21811042479&utm_adgroup=&utm_term=&utm_content=717415192734&gad_source=4&gad_campaignid=21811042479&gbraid=0AAAAADwY45j8kvUPx2EJ3eA8Kw0cP7hpL&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvRY3WzCG6pnUGL5-ts1L_2dOAnjfdAbnS9a_qEGsaNjcCcW1_6KW0aAlkmEALw_wcB#idiq=17434908&edition=7766015,
,63,Francis: The Poor Man of Assisi (Tomie dePaola),Catholic,4-9,Holiday House,used,7,1,7,https://www.betterworldbooks.com/product/detail/francis-the-poor-man-of-assisi-9780823404353?shipto=US&curcode=USD&utm_source=google&utm_medium=cpc&utm_campaign=pMax-Used-USA&utm_content=&utm_term=&creative=&device=c&placement=&gad_source=1&gad_campaignid=16440140764&gbraid=0AAAAADMQnG-XyIYLaMAIBH2NtjOlCkYzb&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvN0rzde7J5xr8wbsvBdScvEI5EeiUtVo_N4IJFak4hFkvD2lrxdrIaAk7nEALw_wcB,
,64,The Clown of God (Tomie dePaola),Catholic compatible,4-8,Simon & Schuster Books for Young Readers,used,4,1,4,https://www.abebooks.com/servlet/BookDetailsPL?bi=32282495459&dest=USA,
,65,Patrick: Patron Saint of Ireland (Tomie dePaola),Catholic compatible,5-8,Holiday House,used,6,1,6,https://www.abebooks.com/servlet/BookDetailsPL?bi=32487714146&dest=USA&ref_=ps_ggl_18382194370&cm_mmc=ggl-_-US_Shopp_Trade0to10-_-product_id=US9780823409242USED-_-keyword=&gad_source=1&gad_campaignid=17190383930&gbraid=0AAAAAD3Y6guWzEWxmLMafBAZNcIU5tpJy&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBvR37M4KsPdKj-vB7slyfU38L1mY11QyfHAFGzXEj-ke0fb6LOI9HUaAgIzEALw_wcB,
,66,"Mary, the Mother of Jesus
Author: Tomie DePaola",Catholic,5-9,Holiday House,new,15,1,15,https://ignatius.com/mary-the-mother-of-jesus-6maryh/,
,67,The Story of Noah's Ark,Catholic,4-7,Magnificat & Ignatius Press (Catholic),used,4,1,4,https://www.christianbook.com/the-story-of-noahs-ark/allia-zobel-nolan/9780825455322/pd/455324?en=google&event=SHOP&kw=childrens-books-0-20%7C455324&p=1179710&utm_source=google&p=1238751&dv=c&cb_src=google&cb_typ=pmax&cb_cmp=21788738292&cb_adg=&cb_kyw=&utm_medium=shopping&gad_source=1&gad_campaignid=21788738559&gbraid=0AAAAAD_dTHbHNjN91QKG2wEEfeMbIR2P6&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBtCgYgJCirX4XtBVJi4XYRPLGp76csPPFYpWsI1s1p7ZNb0VieWu-oaAlfTEALw_wcB,
,68,Baby's First Bible,Protestant but its Catholic Compatible. No protestant teachings,2-5,Zonderkidz,used,7,1,7,https://www.christianbook.com/babys-first-bible/9780310704485/pd/04480?en=google&event=SHOP&kw=childrens-bibles-0-20%7C04480&p=1179710&utm_source=google&p=1234073&dv=c&cb_src=google&cb_typ=shopping&cb_cmp=20704420694&cb_adg=150161845570&cb_kyw=&utm_medium=shopping&gad_source=1&gad_campaignid=20704420694&gbraid=0AAAAAD_dTHYNNkl_zFaZ5nhUFkyM74cRh&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBuR0tLKi0OxBx02Le2T5oAI3aTONLu6BJhd1rb52Ft6SWBHHZujwfIaAr91EALw_wcB,
,69,Saint Nicholas: The Giftgiver (picture book),General Christian,4-8,IVP Kids,used,7,1,7,https://www.thriftbooks.com/w/saint-nicholas-the-giftgiver_ned-bustard/28438976/item/89905609/?utm_source=google&utm_medium=cpc&utm_campaign=us_shopping_childrens_22852179116&utm_adgroup=&utm_term=&utm_content=766933689252&gad_source=1&gad_campaignid=22852179116&gbraid=0AAAAADwY45gsLmUqO4swj3uFr5GwxoXCC&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBtNxbryWjqZI1FAqmOIrDmIl1XT9RZxoKl8aKKJ__NtQkKAL6ljMtMaAuSjEALw_wcB#idiq=89905609&edition=59285403,
,71,God Made Everything (board book),General Christian,0-4,Balboa Press Australia,used,16,1,16,https://www.thriftbooks.com/w/god-made-everything/18520370/item/25650166/?utm_source=google&utm_medium=cpc&utm_campaign=shopping_new_condition_books_high_14637440387&utm_adgroup=&utm_term=&utm_content=545752455739&gad_source=1&gad_campaignid=14637440387&gbraid=0AAAAADwY45h9QNEIGROjE6Zwi2q6K432m&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBs7GrBdBIH253wx3SmPrdIuSNhl6Gd871w4QaBKC7ADKs56RJiv5k8aAkToEALw_wcB#idiq=25650166&edition=19694915,
